Hari;Lama_menginap;Tanggal;Bulan;Tahun;Jenis Kamar;Harga;Demand
Libur Nasional;1;31;12;2019;Family Room;950;7
Libur Nasional;2;31;12;2019;Family Room;950;7
Libur Nasional;2;31;12;2019;Family Room;950;7
Libur Nasional;2;31;12;2019;Family Room;950;7
Weekend;1;7;11;2020;Family Room;920;3
Weekend;2;18;10;2020;Family Room;920;3
Weekend;1;11;7;2020;Standard Twin Room;865;1
Weekend;2;12;7;2020;Standard Queen Room;865;4
Weekend;2;11;7;2020;Standard Queen Room;865;4
Weekday;1;9;11;2020;Family Room;860;2
Weekday;1;30;10;2020;Family Room;860;2
Libur Nasional;1;21;8;2020;Standard Queen Room;720;25
Libur Nasional;1;20;8;2020;Standard Queen Room;720;25
Libur Nasional;1;20;8;2020;Standard Queen Room;720;25
Libur Nasional;1;17;8;2020;Standard Queen Room;720;25
Libur Nasional;1;17;8;2020;Standard Queen Room;720;25
Libur Nasional;1;17;8;2020;Standard Queen Room;720;25
Libur Nasional;1;17;8;2020;Standard Queen Room;720;25
Libur Nasional;1;25;5;2020;Standard Queen Room;720;25
Libur Nasional;1;1;1;2020;Standard Queen Room;720;25
Libur Nasional;1;1;1;2020;Standard Queen Room;720;25
Libur Nasional;1;1;1;2020;Standard Queen Room;720;25
Libur Nasional;2;21;8;2020;Standard Queen Room;720;25
Libur Nasional;2;21;8;2020;Standard Queen Room;720;25
Libur Nasional;2;20;8;2020;Standard Queen Room;720;25
Libur Nasional;2;7;5;2020;Standard Queen Room;720;25
Libur Nasional;3;21;8;2020;Standard Queen Room;720;25
Libur Nasional;3;1;6;2020;Standard Queen Room;720;25
Libur Nasional;1;1;1;2019;Standard Queen Room;720;18
Libur Nasional;1;1;1;2019;Standard Queen Room;720;18
Libur Nasional;1;1;1;2019;Standard Queen Room;720;18
Libur Nasional;1;1;1;2019;Standard Queen Room;720;18
Libur Nasional;1;1;1;2019;Standard Queen Room;720;18
Libur Nasional;1;1;1;2019;Standard Queen Room;720;18
Libur Nasional;2;31;12;2019;Standard Queen Room;720;18
Libur Nasional;2;31;12;2019;Standard Queen Room;720;18
Libur Nasional;2;9;11;2019;Standard Queen Room;720;18
Libur Nasional;2;9;11;2019;Standard Queen Room;720;18
Libur Nasional;4;31;12;2019;Standard Queen Room;720;18
Weekend;1;13;6;2020;Standard Queen Room;634;7
Weekend;1;13;6;2020;Standard Queen Room;634;7
Weekend;2;14;6;2020;Standard Queen Room;634;7
